Temp.°C,Press.bar,Liquid v_f,Vapor v_g,Liquid u_f,Vapor u_g,Liquid h_f,Evap. h_fg,Vapor h_g,Liquid s_f,Vapor s_g
-40.0,0.5164,0.0007055,0.3569,-0.04,204.45,0.0,222.88,222.88,0.0,0.956
-36.0,0.6332,0.0007113,0.2947,4.68,206.73,4.73,220.67,225.4,0.0201,0.9506
-32.0,0.7704,0.0007172,0.2451,9.47,209.01,9.52,218.37,227.9,0.0401,0.9456
-28.0,0.9305,0.0007233000000000001,0.2052,14.31,211.29,14.37,216.01,230.38,0.06,0.9411
-26.0,1.0199,0.0007265,0.1882,16.75,212.43,16.82,214.8,231.62,0.0699,0.939
-24.0,1.116,0.0007296000000000001,0.1728,19.21,213.57,19.29,213.57,232.85,0.0798,0.937
-22.0,1.2192,0.0007328,0.159,21.68,214.7,21.77,212.32,234.08,0.0897,0.9351
-20.0,1.3299,0.0007361,0.1464,24.17,215.84,24.26,211.05,235.31,0.0996,0.9332
-18.0,1.4483,0.0007395,0.135,26.67,216.97,26.77,209.76,236.53,0.1094,0.9315
-16.0,1.5748,0.0007428000000000001,0.1247,29.18,218.1,29.3,208.45,237.74,0.1192,0.9298
-12.0,1.854,0.0007498,0.1068,34.25,220.36,34.39,205.77,240.15,0.1388,0.9267
-8.0,2.1704,0.0007569,0.0919,39.38,222.6,39.54,203.0,242.54,0.1583,0.9239
-4.0,2.5274,0.0007643999999999999,0.0794,44.56,224.84,44.75,200.15,244.9,0.1777,0.9213
0.0,2.9282,0.0007721,0.0689,49.79,227.06,50.02,197.21,247.23,0.197,0.919
4.0,3.3765,0.0007801,0.06,55.08,229.27,55.35,194.19,249.53,0.2162,0.9169
8.0,3.8756,0.0007884,0.0525,60.43,231.46,60.73,191.07,251.8,0.2354,0.915
12.0,4.4294,0.0007971,0.046,65.83,233.63,66.18,187.85,254.03,0.2545,0.9132
16.0,5.0416,0.0008062000000000001,0.0405,71.29,235.78,71.69,184.52,256.22,0.2735,0.9116
20.0,5.716,0.0008156999999999999,0.0358,76.8,237.91,77.26,181.09,258.36,0.2924,0.9102
24.0,6.4566,0.0008257,0.0317,82.37,240.01,82.9,177.55,260.45,0.3113,0.9089
26.0,6.853,0.0008309,0.0298,85.18,241.05,85.75,175.73,261.48,0.3208,0.9082
28.0,7.2675,0.0008362,0.0281,88.0,242.08,88.61,173.89,262.5,0.3302,0.9076
30.0,7.7006,0.0008417,0.0265,90.84,243.1,91.49,172.0,263.5,0.3396,0.907
32.0,8.1528,0.0008473,0.025,93.7,244.12,94.39,170.09,264.48,0.349,0.9064
34.0,8.6247,0.000853,0.0236,96.58,245.12,97.31,168.14,265.45,0.3584,0.9058
36.0,9.1168,0.000859,0.0223,99.47,246.11,100.25,166.15,266.4,0.3678,0.9053
38.0,9.6298,0.0008650999999999999,0.021,102.38,247.09,103.21,164.12,267.33,0.3772,0.9047
40.0,10.164,0.0008713999999999999,0.0199,105.3,248.06,106.19,162.05,268.24,0.3866,0.9041
42.0,10.72,0.000878,0.0188,108.25,249.02,109.19,159.94,269.14,0.396,0.9035
44.0,11.299,0.0008847000000000001,0.0177,111.22,249.96,112.22,157.79,270.01,0.4054,0.903
48.0,12.526,0.0008989,0.0159,117.22,251.79,118.35,153.33,271.68,0.4243,0.9017
52.0,13.851,0.0009142,0.0142,123.31,253.55,124.58,148.66,273.24,0.4432,0.9004
56.0,15.278,0.0009308,0.0127,129.51,255.23,130.93,143.75,274.68,0.4622,0.899
60.0,16.813,0.0009488,0.0114,135.82,256.81,137.42,138.57,275.99,0.4814,0.8973
70.0,21.162,0.0010027,0.0086,152.22,260.15,154.34,124.08,278.43,0.5302,0.8918
80.0,26.324,0.0010766,0.0064,169.88,262.14,172.71,106.41,279.12,0.5814,0.8827
90.0,32.435,0.0011949,0.0046,189.82,261.34,193.69,82.63,276.32,0.638,0.8655
100.0,39.742,0.0015443,0.0027,218.6,248.49,224.74,34.4,259.13,0.7196,0.8117
